Threshold,Malicious Rate,Gossipers Rate,Informed Counts
0.4,0.6,16,"[16, 937, 987, 1051, 1114, 1209, 1258, 1283, 1287]"
0.4,0.6,32,"[32, 1287, 1395, 1488, 1511, 1520, 1529]"
0.5,0.05,1,"[1, 203, 205, 206]"
0.5,0.05,4,"[4, 552, 560, 562]"
0.5,0.05,8,"[8, 638, 650, 653]"
0.5,0.05,16,"[16, 905, 931, 939, 940]"
0.5,0.05,32,"[32, 1251, 1341, 1439, 1510, 1551, 1557, 1573, 1574]"
0.5,0.1,1,"[1, 203, 205, 206]"
0.5,0.1,4,"[4, 552, 560, 563]"
0.5,0.1,8,"[8, 638, 650, 653]"
0.5,0.1,16,"[16, 905, 931, 938, 939]"
0.5,0.1,32,"[32, 1251, 1341, 1438, 1508, 1543, 1547, 1562, 1563]"
0.5,0.2,1,"[1, 203, 205, 206]"
0.5,0.2,4,"[4, 552, 560, 563]"
0.5,0.2,8,"[8, 638, 649, 652]"
0.5,0.2,16,"[16, 905, 931, 939, 940]"
0.5,0.2,32,"[32, 1251, 1339, 1431, 1495, 1530, 1535, 1551, 1552]"
0.5,0.3,1,"[1, 203, 205, 206]"
0.5,0.3,4,"[4, 552, 560, 563]"
0.5,0.3,8,"[8, 638, 650, 653]"
0.5,0.3,16,"[16, 905, 930, 937, 938]"
0.5,0.3,32,"[32, 1251, 1337, 1429, 1488, 1516, 1522, 1534, 1535]"
0.5,0.4,1,"[1, 203, 205, 206]"
0.5,0.4,4,"[4, 552, 560, 562]"
0.5,0.4,8,"[8, 638, 648, 650]"
0.5,0.4,16,"[16, 905, 928, 933, 934]"
0.5,0.4,32,"[32, 1251, 1338, 1424, 1483, 1504, 1509, 1524, 1525]"
0.5,0.5,1,"[1, 203, 205, 206]"
0.5,0.5,4,"[4, 552, 559, 560]"
0.5,0.5,8,"[8, 638, 648, 650]"
0.5,0.5,16,"[16, 905, 928, 935, 936]"
0.5,0.5,32,"[32, 1251, 1334, 1413, 1457, 1481, 1485, 1494, 1495]"
0.5,0.6,1,"[1, 203, 205, 206]"
0.5,0.6,4,"[4, 552, 559, 561]"
0.5,0.6,8,"[8, 638, 648, 649]"
0.5,0.6,16,"[16, 905, 923, 926, 927]"
0.5,0.6,32,"[32, 1251, 1324, 1404, 1445, 1462, 1465, 1477]"
